Subsidiary ID,SF Account ID,Netsuite Product Code,netsuiteId,Quantity,Price,Date
5,0011p00001dxaLKAAY,281,,1,0.95,01/11/2022
5,0011p00001dxaLKAAY,282,,17,1.7,01/11/2022
6,00108000030F4lgAAC,279,,1,1.9,01/11/2022
9,0011p00002fcq82AAA,279,,94,1.48,01/11/2022
9,0011p00002fcq82AAA,281,,94,0.98,01/11/2022
5,0011p00001pKcbWAAS,279,,263,0.95,01/11/2022
5,0011p00001pKcbWAAS,281,,267,0.43,01/11/2022
5,0012400000DIxZbAAL,279,,51,0.74,01/11/2022
5,0012400000dBAVKAA4,279,,847,0.76,01/11/2022
5,0012400000dBAVKAA4,281,,851,0.39,01/11/2022
6,0011p0000298SJvAAM,279,,5,1.12,01/11/2022
15,0010800002qqcYeAAI,279,,3,1.4,01/11/2022
5,0011p00002R8BHeAAN,282,,55,0.85,01/11/2022
5,0011p00002R8BHeAAN,279,,85,1.2,01/11/2022
5,0011p00002R8BHeAAN,281,,2,0.78,01/11/2022
5,0011p00002NSbVHAA1,279,,308,1.06,01/11/2022
5,0011p00002NSbVHAA1,281,,309,0.58,01/11/2022
5,0011p00002R81adAAB,291,,2,0.4,01/11/2022
17,0012400000PqSOXAA3,279,,61,1.15,01/11/2022
9,0012400000PqScYAAV,282,,6,0.8,01/11/2022
9,0012400000PqScYAAV,281,,45,0.57,01/11/2022
9,0012400000PqScYAAV,279,,51,1.2,01/11/2022
9,0012400000PqScYAAV,291,,51,0.3,01/11/2022
5,0011p00001azrQaAAI,279,,57,0.79,01/11/2022
5,0011p00001rxzFbAAI,281,,37,0.71,01/11/2022
5,0011p00001rxzFbAAI,289,,17,4.2,01/11/2022
5,0011p00001rxzFbAAI,291,,15,0.54,01/11/2022
5,0011p00001rxzFbAAI,279,,23,1.33,01/11/2022
5,0010800002ytCaaAAE,291,,1,0.5,01/11/2022
5,0011p00001Uffp7AAB,279,,1,1.4,01/11/2022
5,0011p00002iAGmtAAG,1889,,3,0.24,01/11/2022
5,0011p00002iAGmtAAG,281,,3,0.47,01/11/2022
5,0011p00002iAGmtAAG,279,,3,0.99,01/11/2022
9,0012400000i37xAAAQ,281,,5,1.22,01/11/2022
9,0012400000i37xAAAQ,279,,5,0.9,01/11/2022
17,0011p00002dG3rKAAS,278,,167,1.13,01/11/2022
17,0011p00002dG3rKAAS,1889,,168,0.28,01/11/2022
17,0011p00002dG3rKAAS,282,,168,0.75,01/11/2022
6,0010800002xyByGAAU,279,,5,1.4,01/11/2022
5,0011p00002kwqpiAAA,279,,56,1.37,01/11/2022
5,0011p00002kwqpiAAA,281,,56,0.85,01/11/2022
6,0011p000029N8JgAAK,281,,21,0.66,01/11/2022
6,0011p000029N8JgAAK,279,,21,1.1,01/11/2022
5,0010800002scI7wAAE,282,,8,1.0,01/11/2022
5,0010800002scI7wAAE,278,,8,1.98,01/11/2022
10,0011p0000205imNAAQ,291,,23,18.0,01/11/2022
10,0011p00002iR9TfAAK,279,,115,2.56,01/11/2022
10,0011p00002iR9TfAAK,3012,,1362,0.92,01/11/2022
10,0011p00002iR9TfAAK,291,,63,22.0,01/11/2022
5,0011p00002jz9yXAAQ,279,,13,1.5,01/11/2022
5,0011p00002jz9yXAAQ,282,,13,0.99,01/11/2022
5,0011p00002jz9yXAAQ,291,,104,0.4,01/11/2022
5,0011p00002khOxzAAE,282,,126,0.68,01/11/2022
5,0011p00002khOxzAAE,279,,161,1.26,01/11/2022
5,0011p00002YFthcAAD,279,,4,1.51,01/11/2022
5,0011p00002YFthcAAD,281,,4,0.89,01/11/2022
5,0010800002qtLinAAE,3012,,116,0.31,01/11/2022
5,0010800002qtLinAAE,279,,116,2.56,01/11/2022
5,0012400000kebDNAAY,279,,36,0.77,01/11/2022
5,0012400000kebDNAAY,1889,,28,0.5,01/11/2022
5,0012400000kebDNAAY,281,,36,0.51,01/11/2022
5,0011p00002NRfvgAAD,281,,99,1.0,01/11/2022
5,0011p00002NRfvgAAD,279,,98,1.5,01/11/2022
5,0011p00001uOjmiAAC,278,,186,3.53,01/11/2022
5,0011p00001uOjmiAAC,281,,187,0.62,01/11/2022
17,00108000030DHjOAAW,279,,4,1.52,01/11/2022
